KR_Name	KR_Manning Name	KR_UniprotID	KR_Synonyms	GroupName	Family	SubFamily
Abl	ABL	P00519	"ABL1, ABL, JTK7"	TK	Abl	
Ack	ACK	Q07912	"TNK2, ACK1"	TK	Ack	
ACtR2	ACTR2	P27037	"ACVR2A, ACVR2"	TKL	STKR	Type2
ACtR2B	ACTR2B	Q13705	ACVR2B	TKL	STKR	Type2
ADCK4	ADCK4	Q96D53	ADCK4	Atypical	ABC1	ABC1-A
Trb1	Trb1	Q96RU8	"TRIB1, C8FW, GIG2, TRB1"	CAMK	Trbl	
BRSK2	BRSK2	Q8IWQ3	"BRSK2, C11orf7, PEN11B, SADA, STK29, ORF Names:, HUSSY-12"	CAMK	CAMKL	BRSK
WNK2	Wnk2	F8W9F9	WNK2	Other	Wnk	
Akt1/PKB[alpha]	AKT1	P31749	"AKT1, PKB, RAC"	AGC	AKT	
Akt2/PKB[beta]	AKT2	P31751	AKT2	AGC	AKT	
Akt3/PKB[gamma]	AKT3	Q9Y243	"AKT3, PKBG"	AGC	AKT	
CaMK1[gamma]	CaMK1g	Q96NX5	"CAMK1G, VWS1"	CAMK	CAMK1	
ALK	ALK	Q9UM73	ALK	TK	Alk	
ALK1	ALK1	P37023	"ACVRL1, ACVRLK1, ALK1"	TKL	STKR	Type1
ALK2	ALK2	Q04771	"ACVR1, ACVRLK2"	TKL	STKR	Type1
BMPR1A	BMPR1A	P36894	"BMPR1A, ACVRLK3, ALK3"	TKL	STKR	Type1
ALK4	ALK4	P36896	"ACVR1B, ACVRLK4, ALK4"	TKL	STKR	Type1
TGF[beta]R1	TGFbR1	P36897	"TGFBR1, ALK5, SKR4"	TKL	STKR	Type1
BMPR1B	BMPR1B	O00238	BMPR1B	TKL	STKR	Type1
AMPK[alpha]1	AMPKa1	Q13131	"PRKAA1, AMPK1"	CAMK	CAMKL	AMPK
AMPK[alpha]2	AMPKa2	P54646	"PRKAA2, AMPK, AMPK2"	CAMK	CAMKL	AMPK
ANP[alpha]	ANPa	P16066	"NPR1, ANPRA"	RGC	RGC	
ANP[beta]	ANPb	P20594	"NPR2, ANPRB"	RGC	RGC	
ARAF	ARAF	P10398	"ARAF, ARAF1, PKS, PKS2"	TKL	RAF	
Arg	ARG	P42684	"ABL2, ABLL, ARG"	TK	Abl	
ATM	ATM	Q13315	ATM	Atypical	PIKK	ATM
ATR	ATR	Q13535	"ATR, FRP1"	Atypical	PIKK	ATR
AurC/Aur3	AurC	Q9UQB9	"AURKC, AIE2, AIK3, AIRK3, ARK3, STK13"	Other	AUR	
Axl	AXL	P30530	"AXL, UFO"	TK	Axl	
BARK1/GRK2	BARK1	P25098	"ADRBK1, BARK, BARK1, GRK2"	AGC	GRK	BARK
BCKDK	BCKDK	O14874	BCKDK	Atypical	PDHK	
GCK	GCK	P35557	"MAP4K2, GCK, RAB8IP"	STE	STE20	KHS
BLK	BLK	P51451	BLK	TK	Src	
BRAF	BRAF	P15056	"BRAF, BRAF1, RAFB1"	TKL	RAF	
Brk	BRK	Q13882	"PTK6, BRK"	TK	Src	
BTK	BTK	Q06187	"BTK, AGMX1, ATK, BPK"	TK	Tec	
BubR1	BUBR1	O60566	"BUB1B, BUBR1, MAD3L, SSK1"	Other	BUB	
CDK7	CDK7	P50613	"CDK7, CAK, CAK1, CDKN7, MO15, STK1"	CMGC	CDK	CDK7
CaMK1[alpha]	CaMK1a	Q14012	CAMK1	CAMK	CAMK1	
CaMK2[alpha]	CaMK2a	Q9UQM7	"CAMK2A, CAMKA, KIAA0968"	CAMK	CAMK2	
CaMK2[beta]	CaMK2b 	Q13554	"CAMK2B, CAM2, CAMK2, CAMKB"	CAMK	CAMK2	
